Puzzle,Solution,
.....21.94..91..7..9..78..2.7.....5.82..453........2.8....5....5...8.4.1......93.,expert,768532149452916873193478562379821654821645397645397218914253786536789421287164935,
...8631...3...9.7....7..4.....9.8........436.8.1...79.1..635.....3.97..4......6..,expert,472863159536149872918752436365978241297514368841326795124635987683297514759481623,
....79....194..37....16.......2......76....9.2...3.6...2.35.16..53...7..4....1..2,expert,532879416619425378784163925341296857876514293295738641928357164153642789467981532,
.3.6.5...8.5..21.461...4..374.3..8.2.......1.2....74...2...8............3...6...5,expert,432615789875932164619874523741356892568429317293187456927548631156793248384261975,
5............8.567.862..1....13.....7......4.....4......8..2...65...3.1.43.87...6,expert,517634829324189567986257134841326975765918342293745681178562493652493718439871256,
.6.3...25..3.8.....5.67....8....7...2....314...1...7..1.6.2.....4.........71..48.,expert,768341925913582674452679831894217563275963148631458792186724359549836217327195486,
...6..91.8....95.42..7..8.6.5..9....794........8.674..5..........2...7...1...86..,expert,375684912861239574249715836653491287794823165128567493586972341932146758417358629,
9...4..137..36...2..8....4.3.9....8727.69..........2.......6..8..318..7.......13.,expert,952847613741365892638219745369521487274698351185473269417936528523184976896752134,
..1..5...63.81.....7.........2.3...8..3...7...5...8.16.1.79......9......2...615..,expert,421675839635819427978243165162437958893156742754928316516794283349582671287361594,
.......3235..2.4.1...8......9...612...32.....8.41..5.914......6...5..8......1....,expert,489751632357629481261843975795486123613295748824137569148972356932564817576318294,
9....6..8............3.9.6.24.8.5.9...9.1.4..85.....1639...1...1..2.8.3.5...9.6..,expert,913526748426187953785349162241865397639712485857934216392651874164278539578493621,
..9....633..5.1..7.2......567.3.........527..2.5.67.3.....9......3.2....41...5.9.,expert,159278463386541927724936815678319254931452786245867139862793541593124678417685392,
12673..4.....4.8..48.61.....3...6...61.3.7.......9........6..9..7....1....32....8,expert,126738945397542861485619273532486719619327584748195632251864397874953126963271458,
8.......4.27..1..8..94.2.....4.197....53....2.3..2.5.......3.1.5........9.1.4...5,expert,816975234427631958359482671264519783795368142138724596672853419543196827981247365,
.51...4..3.6...7...2...56.1..2....9596...13..7.3......5...1.........79.3.7..4....,expert,851672439396184752427395681142736895965821374783459126534918267218567943679243518,
