Puzzle,Solution,
............6........893.6...8...6..2..3.591...9.8...38.4.3..9.56...42...2.5...36,intermediate,396457821485621379712893564138749652247365918659182743874236195563914287921578436,
...8..2.....35.97.897.....3..5..4..................5.7.1.......27.93....35.27..1.,intermediate,563897241421356978897412653185724396732569184649183527918645732274931865356278419,
.....67..146..5..2....41..33..65......2......9.5.12..4517...6.............4.37...,intermediate,853296741146375892729841563381654927472983156965712384517428639238169475694537218,
82..7...5.....56.8......73.73....2............5...2.8.58..49.6.27......4.63...9.2,intermediate,826173495317495628945628731738951246192864573654732189581249367279316854463587912,
.......597......4.....4..1887.9.1..2..25.79..6..8....528.6.......61...9.........6,intermediate,428316759751298643963745218875931462342567981619824375284659137536172894197483526,
...596..1.......9......4..3.......4....847.5..7...5..6.47.8.1.........8..186.9..4,intermediate,783596421421738695695214873952163748136847952874925316547382169369451287218679534,
4.1.....7.794..68....2...9.2..8.43..3....2.....46..1.........1.936..8.4..........,intermediate,421986537579431682683275491215894376368712954794653128847569213936128745152347869,
.....7...1.....245.9......1732..56..46.9..5.........2....1......5...49.6...69...3,intermediate,624517398173869245895342761732485619468921537519736824986153472351274986247698153,
6.......379.8...1.31....92......51.....6.2...1....8.7...8..3..2..6....9.2.....8..,intermediate,685921743792834516314756928829375164457612389163498275978143652536287491241569837,
..8...4.91...94...6......5..21.6.......8...67..9..2.8...75....82.....9...46......,intermediate,378156429152394876694278153821765394435819267769432581917523648283647915546981732,
...3.....74.5...28.2....73.....2..455.........97.....6....4..9.4...8.....389....2,intermediate,861372954743591628925864731386729145514638279297415386652143897479286513138957462,
......73..4...3.16..7...248.63...8.....9...2..29..1............432..6....91.4267.,intermediate,986124735245783916317695248163257894754968321829431567678319452432576189591842673,
......9..........8.298...71.98.175.4.739...1.2.13.......7..4..5....8..9.........2,intermediate,816472953734591628529863471698217534473958216251346789987124365342685197165739842,
48.3.1.75..9..8.....1...8.2735...2..8.........2...7.1.....9...1.4.7.....5..8...3.,intermediate,482361975659278143371549862735184296816923457924657318263495781148736529597812634,
......6837..........6.....12....53...3.......1.5...2.7...5...2.6.48.2...5.1764..8,intermediate,412957683789613542356248791268475319937126854145389267873591426694832175521764938,
.6...2...3.4.....88...9..2....1......38.2.46..4.....39.........492..768...1.....7,intermediate,769812543324675918815493726956134872138729465247568139673981254492357681581246397,
6......72..2...3......5..6.2.47.....765....2..3.......5.7.4..9..93..2.46...8.35..,intermediate,658934172942167385371258964214785639765319428839426751587641293193572846426893517,
...6..8..6..7..4.5.1..39.7.7.3..81.61.6.4.....4.......837..49...........49...3...,intermediate,374652819629781435518439672753928146186345297942176583837564921261897354495213768,
1......38...3..5..59....6.13.4.......5...1.....2..4.5......68.......942..6.1.....,intermediate,147965238286317549593482671374598162659271384812634957925746813731859426468123795,
...72....3.4..9......5.4....516.2..4..3....19....7...24..9.6..3.1635..2..........,intermediate,695721348324869175187534296751692834263485719849173652472916583916358427538247961,
.7.8..1.3.5..9..8.......42.8..9.7..171...3..8.93...57....4..3954..3..............,intermediate,972846153354291687168735429845967231716523948293184576627418395481359762539672814,
6.1.2..89.9.4.....5.2....4...8.....3.6..5..9........6.2..6.8.....6...32.1....2..8,intermediate,641523789897416235532987146918264573364751892725839461253678914486195327179342658,
63.........1.....28..6.....9..3.....28..1..36......2.1....319.7...8.9.65.9.76...3,intermediate,639128574751493682842657319916372458285914736473586291568231947327849165194765823,
4........21.......3.956......247..35.4...6..25...9........2.9....7....6.1..643...,intermediate,456182379218739546379564128982471635741356892563298714634827951827915463195643287,
1......36...1......3.6.8...8.3....1...6.19..4.7.8...6.........5....538.9.4.9.....,intermediate,184597236765132498932648157893764512256319784471825963329481675617253849548976321,
..4..79...9....2.55.1.....4...21..9..4...5..2..5.....6439...6........473...1.....,intermediate,324567918796481235581392764863214597947635182215879346439758621158926473672143859,
4..7...6..3.61......95......14..6..758.......3..9......9...314..4.19...8..6.....3,intermediate,421738569835619724679542831914826357582374916367951482798263145243195678156487293,
........6.9.3..2..4.62.5.9.....2...8.7.8..63.......97.2.4.6.....5.7.8.....3.4....,intermediate,827491356591386247436275891365927418972814635148653972214569783659738124783142569,
.9......48...9...57....6.2.....6.8.9..1....575...184...2.7......4..5.......94....,intermediate,293175684816294735754836921432567819681429357579318462925783146347651298168942573,
....1.....2...9...7..283.9...23.17..538....2.........98.17.......7..4.5.95......2,intermediate,389516247625479318714283695492351786538697124176842539841725963267934851953168472,
....5....8.1..6.....3.8..9.1.7.439...5....47..86..73.17..3..1.........6.9.....7.8,intermediate,672459813891736245543182697127543986359618472486927351768395124234871569915264738,
7.2.5....18...2..7..3.1.....6...5.2....28.9.5.1..376......2..8.5........3....8...,intermediate,792853461184692357653714892869145723437286915215937648976321584528479136341568279,
15....9.8..6.....1.8.....6..1935........6.2.3.67........3..67...9....32.......8.5,intermediate,152647938936528471784913562219354687845761293367892154523486719498175326671239845,
.86.9.2.73.......9.....4.8.8695.2.7...54....3..7.6......37...2.....5........2...5,intermediate,186395247374218569592674381869532174215487693437169852653741928728953416941826735,
